"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02639V03196","Day of Week","C03839V04589","Bus City Services","UNIT","VALUE"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","6","Friday","10","Cork city","Number","26003"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","6","Friday","20","Galway city","Number","9795"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","6","Friday","30","Limerick city","Number","7623"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","6","Friday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","6","Friday","50","Dublin Bus","Number","224439"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","7","Saturday","10","Cork city","Number","17002"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","7","Saturday","20","Galway city","Number","6436"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","7","Saturday","30","Limerick city","Number","5143"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","7","Saturday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","7","Saturday","50","Dublin Bus","Number","150482"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","-","All days","10","Cork city","Number","156483"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","-","All days","20","Galway city","Number","64427"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","-","All days","30","Limerick city","Number","51723"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","-","All days","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","-","All days","50","Dublin Bus","Number","1361663"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","1","Sunday","10","Cork city","Number","10355"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","1","Sunday","20","Galway city","Number","4517"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","1","Sunday","30","Limerick city","Number","3044"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","1","Sunday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","1","Sunday","50","Dublin Bus","Number","103611"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","2","Monday","10","Cork city","Number","25337"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","2","Monday","20","Galway city","Number","10563"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","2","Monday","30","Limerick city","Number","8474"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","2","Monday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","2","Monday","50","Dublin Bus","Number","220312"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","3","Tuesday","10","Cork city","Number","23906"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","3","Tuesday","20","Galway city","Number","10009"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","3","Tuesday","30","Limerick city","Number","7907"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","3","Tuesday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","3","Tuesday","50","Dublin Bus","Number","207848"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","4","Wednesday","10","Cork city","Number","26096"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","4","Wednesday","20","Galway city","Number","10590"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","4","Wednesday","30","Limerick city","Number","8684"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","4","Wednesday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","4","Wednesday","50","Dublin Bus","Number","219031"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","5","Thursday","10","Cork city","Number","25294"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","5","Thursday","20","Galway city","Number","10417"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","5","Thursday","30","Limerick city","Number","8611"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","5","Thursday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","5","Thursday","50","Dublin Bus","Number","219392"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","6","Friday","10","Cork city","Number","26154"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","6","Friday","20","Galway city","Number","10493"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","6","Friday","30","Limerick city","Number","8682"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","6","Friday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","6","Friday","50","Dublin Bus","Number","225516"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","7","Saturday","10","Cork city","Number","19342"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","7","Saturday","20","Galway city","Number","7838"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","7","Saturday","30","Limerick city","Number","6321"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","7","Saturday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2021","2021","7","Saturday","50","Dublin Bus","Number","165952"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","-","All days","10","Cork city","Number","156483"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","-","All days","20","Galway city","Number","64427"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","-","All days","30","Limerick city","Number","51723"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2022","2022","-","All days","40","Waterford city","Number",""
